file,Red,Green,Blue,NIR,RedEdge,DeepBlue,field,range,row,PC1,PC2,PC3
Crawfordsville-TP6-4353_7_44,1656.6404958677685,1166.3801652892562,858.4834710743802,2555.3636363636365,2099.504132231405,658.4256198347107,Crawfordsville-TP6-4353,7,44,0.05459933168111351,-0.04262251673569361,-0.036371479947595285
Crawfordsville-TP6-4353_20_44,1753.8595041322315,1241.7685950413222,926.1322314049587,2659.380165289256,2215.971074380165,690.4752066115702,Crawfordsville-TP6-4353,20,44,0.05657765959346013,-0.079906193064938,0.0007357405334796175
Crawfordsville-TP6-4351_19_19,1161.6942148760331,831.3553719008264,642.2479338842975,1878.6446280991736,1510.3719008264463,520.1363636363636,Crawfordsville-TP6-4351,19,19,0.039033901238019475,0.05336159232533802,-0.0023692547571892318
Crawfordsville-TP6-4351_18_18,1109.0039682539682,801.3531746031746,603.7539682539683,1780.0238095238096,1451.170634920635,486.4166666666667,Crawfordsville-TP6-4351,18,18,0.03732158557310089,0.029064909562139873,0.05210538002363228
Crawfordsville-TP6-4351_2_15,1181.4484126984128,837.8095238095239,642.1349206349206,1886.642857142857,1532.6984126984128,512.5238095238095,Crawfordsville-TP6-4351,2,15,0.039609081861012245,0.03127471073059589,0.01254512092722768
Crawfordsville-TP6-4353_35_46,1570.2467532467533,1094.0865800865802,834.4545454545455,2415.164502164502,2012.926406926407,642.9653679653679,Crawfordsville-TP6-4353,35,46,0.05138052759720524,-0.03038062417552298,0.0430298874484656
Crawfordsville-TP6-4351_11_20,1139.5826446280992,817.0123966942149,628.1322314049587,1823.3057851239669,1492.3760330578511,518.4173553719008,Crawfordsville-TP6-4351,11,20,0.03787968439672414,0.042426291851186126,0.06212117912250963
Crawfordsville-TP6-4351_2_16,1036.9128787878788,753.5568181818181,571.939393939394,1651.1515151515152,1344.090909090909,464.3333333333333,Crawfordsville-TP6-4351,2,16,0.03417870135758519,0.02680137324907215,0.026327560133275436
Crawfordsville-TP6-4352_10_7,1340.6926406926407,969.8398268398269,725.6753246753246,2128.818181818182,1724.6666666666667,595.1255411255411,Crawfordsville-TP6-4352,10,7,0.04419752318937122,0.03158602027709526,-0.0036422794438054906
Crawfordsville-TP6-4351_18_17,1121.563492063492,811.452380952381,612.6269841269841,1801.297619047619,1452.984126984127,504.4761904761905,Crawfordsville-TP6-4351,18,17,0.03735282909746303,0.04194526656462063,0.00417363763433284
Crawfordsville-TP6-4353_3_42,1756.4880952380952,1234.5357142857142,894.2539682539683,2678.1666666666665,2234.690476190476,668.1111111111111,Crawfordsville-TP6-4353,3,42,0.05803819879695253,-0.08796273944730827,0.029031240870502607
Crawfordsville-TP6-4352_6_6,1150.7396694214876,803.8223140495868,612.6363636363636,1838.090909090909,1484.797520661157,509.0,Crawfordsville-TP6-4352,6,6,0.03857951539589756,0.04468764016375008,-0.020266387033864033
Crawfordsville-TP6-4353_22_44,1641.603305785124,1159.7231404958677,868.7768595041322,2479.1074380165287,2059.0785123966944,658.4834710743802,Crawfordsville-TP6-4353,22,44,0.05235203580490078,-0.06781098170178165,-0.03692182043629906
Crawfordsville-TP6-4352_11_8,1219.891774891775,887.8051948051948,678.3506493506494,1925.0,1563.7662337662337,555.8484848484849,Crawfordsville-TP6-4352,11,8,0.039387625381102694,0.030835549103108942,-0.003325402460114829
Crawfordsville-TP6-4353_31_44,1488.0530303030303,1056.371212121212,764.2348484848485,2271.064393939394,1887.6931818181818,595.5719696969697,Crawfordsville-TP6-4353,31,44,0.048505625610746915,-0.05559537531307608,0.013194313937933296
Crawfordsville-TP6-4351_7_18,1333.8398268398269,961.069264069264,731.5714285714286,2144.3290043290044,1737.3722943722944,604.7619047619048,Crawfordsville-TP6-4351,7,18,0.04449000317014593,0.05446388786196789,0.031157227324493865
Crawfordsville-TP6-4353_34_43,1542.2380952380952,1095.654761904762,806.063492063492,2331.9484126984125,1946.0674603174602,614.4246031746031,Crawfordsville-TP6-4353,34,43,0.04954175074717067,-0.07084874101803333,0.00569281188869022
Crawfordsville-TP6-4352_19_9,1124.1570247933885,786.99173553719,614.6611570247934,1800.5,1426.9545454545455,527.4628099173553,Crawfordsville-TP6-4352,19,9,0.036793262877728515,0.07345377429106825,-0.10273167031363796
Crawfordsville-TP6-4352_15_8,1226.021645021645,898.5238095238095,688.1904761904761,1906.7229437229437,1571.3290043290044,568.1645021645022,Crawfordsville-TP6-4352,15,8,0.03870088289922384,0.017377035954444883,0.03714236830951047
Crawfordsville-TP6-4353_36_46,1487.3388429752067,1044.5537190082644,780.9421487603306,2267.706611570248,1882.3636363636363,615.1776859504132,Crawfordsville-TP6-4353,36,46,0.047911948369894666,-0.03583105291544441,-0.006392888700997157
Crawfordsville-TP6-4353_23_46,1508.793388429752,1058.0330578512396,784.0247933884298,2372.7272727272725,1915.7107438016528,611.0537190082645,Crawfordsville-TP6-4353,23,46,0.05055694413534663,-0.0006120621034228828,-0.08303701689408208
Crawfordsville-TP6-4353_28_42,1490.7007575757575,1028.4772727272727,753.1401515151515,2351.087121212121,1917.719696969697,584.625,Crawfordsville-TP6-4353,28,42,0.05110191317999289,-0.008585929490700575,-0.01757252212227987
Crawfordsville-TP6-4353_12_45,1530.392561983471,1107.0371900826447,805.1776859504132,2391.2685950413224,1975.202479338843,627.3388429752066,Crawfordsville-TP6-4353,12,45,0.050851717924495346,-0.02790184730714604,0.06593862495986091
Crawfordsville-TP6-4352_15_2,1302.4025974025974,952.1515151515151,710.6103896103896,2013.4112554112555,1649.082251082251,578.9653679653679,Crawfordsville-TP6-4352,15,2,0.04129387323998806,-0.0018420400929712978,-0.01358405516644798
Crawfordsville-TP6-4351_7_15,1037.7083333333333,733.0833333333334,557.8257575757576,1678.2310606060605,1356.2613636363637,452.18560606060606,Crawfordsville-TP6-4351,7,15,0.03542847170497113,0.04104983906495578,0.016101472304257947
Crawfordsville-TP6-4351_2_20,1237.4444444444443,859.9642857142857,644.0952380952381,2052.218253968254,1636.6309523809523,509.1031746031746,Crawfordsville-TP6-4351,2,20,0.04443560360379797,0.06133216898466417,0.006363551344392093
Crawfordsville-TP6-4353_7_45,1760.1818181818182,1232.047619047619,897.91341991342,2783.056277056277,2267.151515151515,681.5064935064935,Crawfordsville-TP6-4353,7,45,0.06043552763844773,-0.020460468235763588,-0.011466207908102915
Crawfordsville-TP6-4352_18_4,1167.952380952381,860.7380952380952,670.3968253968254,1831.8650793650793,1489.5753968253969,565.9166666666666,Crawfordsville-TP6-4352,18,4,0.036482634084264075,0.04394146721546408,-0.005647068006324493
Crawfordsville-TP6-4353_5_46,1406.595041322314,1009.1115702479339,753.6157024793389,2200.3925619834713,1791.702479338843,582.2438016528926,Crawfordsville-TP6-4353,5,46,0.04629881840709855,-0.010013728920953488,-0.02949177566681026
Crawfordsville-TP6-4353_35_45,1769.2943722943724,1240.095238095238,897.5844155844156,2739.6666666666665,2254.909090909091,679.2640692640692,Crawfordsville-TP6-4353,35,45,0.059369069784473365,-0.056906861184784614,-0.014189713447984618
Crawfordsville-TP6-4353_28_44,1455.3333333333333,1037.7689393939395,749.0151515151515,2238.4166666666665,1847.5,568.2954545454545,Crawfordsville-TP6-4353,28,44,0.04800694488102179,-0.055803595807694596,-0.004659278562623459
Crawfordsville-TP6-4351_16_14,1431.1818181818182,1014.017316017316,760.8571428571429,2299.6060606060605,1866.982683982684,618.1125541125541,Crawfordsville-TP6-4351,16,14,0.04867811398194692,0.04221303863229287,0.03282428989735357
Crawfordsville-TP6-4352_8_9,1079.047619047619,765.5198412698413,590.1150793650794,1716.1349206349207,1368.107142857143,479.46031746031747,Crawfordsville-TP6-4352,8,9,0.03540927492103731,0.03945541683263007,-0.0846848315643119
Crawfordsville-TP6-4351_4_17,1240.5555555555557,896.2579365079365,683.4047619047619,1948.2539682539682,1606.607142857143,553.452380952381,Crawfordsville-TP6-4351,4,17,0.040372751073594296,0.016100609829672232,0.05896447060228863
Crawfordsville-TP6-4353_12_42,1554.734126984127,1109.7380952380952,809.0952380952381,2372.746031746032,1969.1904761904761,611.7579365079365,Crawfordsville-TP6-4353,12,42,0.050635936606271664,-0.06719484738570392,0.004426448763995056
Crawfordsville-TP6-4351_16_16,1139.6477272727273,820.3295454545455,623.9280303030303,1789.590909090909,1445.5416666666667,491.2689393939394,Crawfordsville-TP6-4351,16,16,0.03707315591832924,0.010752232383663227,-0.05122333920841164
Crawfordsville-TP6-4353_15_45,1638.5785123966941,1163.495867768595,846.2438016528926,2548.5702479338843,2104.198347107438,648.599173553719,Crawfordsville-TP6-4353,15,45,0.05479983743210603,-0.041717132515039064,0.035380605166119
Crawfordsville-TP6-4351_10_14,1058.215909090909,752.1742424242424,572.5265151515151,1726.2007575757575,1395.3371212121212,459.4583333333333,Crawfordsville-TP6-4351,10,14,0.03654201914920007,0.045289809802790744,0.04023967357251361
Crawfordsville-TP6-4352_15_4,1075.6031746031747,777.25,594.9325396825396,1698.6150793650793,1399.357142857143,494.2936507936508,Crawfordsville-TP6-4352,15,4,0.03501332037547803,0.02871765188100184,0.06167539728997804
Crawfordsville-TP6-4352_23_8,1256.095238095238,893.4935064935065,678.0519480519481,2007.7922077922078,1630.064935064935,568.995670995671,Crawfordsville-TP6-4352,23,8,0.041803758722906904,0.0498887535143772,0.018344122617092236
Crawfordsville-TP6-4351_3_17,1032.4642857142858,740.0833333333334,571.8769841269841,1652.2738095238096,1344.0,481.8333333333333,Crawfordsville-TP6-4351,3,17,0.03399465405864093,0.049299542182372987,0.029713968225641898
Crawfordsville-TP6-4353_33_44,1681.6320346320347,1191.2813852813854,866.2077922077922,2560.4112554112553,2108.4242424242425,671.4025974025974,Crawfordsville-TP6-4353,33,44,0.05439850610869363,-0.0608659999437924,-0.06268599859649429
Crawfordsville-TP6-4352_9_4,1161.1652892561983,851.5867768595041,647.8925619834711,1790.1694214876034,1472.6694214876034,529.4876033057851,Crawfordsville-TP6-4352,9,4,0.03631858549574795,0.0034951625615056788,0.003729738535817892
Crawfordsville-TP6-4353_7_42,1592.8214285714287,1108.579365079365,809.7261904761905,2490.8174603174602,2045.3253968253969,613.2420634920635,Crawfordsville-TP6-4353,7,42,0.05415847172870218,-0.03425250549507057,0.0009932707415407883
Crawfordsville-TP6-4351_14_17,1151.313492063492,819.0992063492064,620.6825396825396,1846.3412698412699,1490.9801587301588,518.1626984126984,Crawfordsville-TP6-4351,14,17,0.03847346681628145,0.04779486295976585,-0.001840315849152936
Crawfordsville-TP6-4351_23_16,1258.301652892562,907.3760330578513,704.0495867768595,1954.8264462809918,1594.5289256198348,564.0041322314049,Crawfordsville-TP6-4351,23,16,0.039901996940006214,0.014004148236470908,-0.032191591418417424
Crawfordsville-TP6-4352_12_6,1048.246212121212,755.7348484848485,590.9507575757576,1636.189393939394,1327.1060606060605,469.79924242424244,Crawfordsville-TP6-4352,12,6,0.033336202955377946,0.01709004051824377,-0.04202537701365095
Crawfordsville-TP6-4353_15_43,1556.7301587301588,1105.7936507936508,809.0357142857143,2425.9801587301586,1991.107142857143,624.7777777777778,Crawfordsville-TP6-4353,15,43,0.051858771394512,-0.028700812542545785,0.0011566086050958867
Crawfordsville-TP6-4351_3_14,1248.8842975206612,897.3760330578513,683.5867768595041,1977.3677685950413,1607.01652892562,557.7685950413223,Crawfordsville-TP6-4351,3,14,0.04094297641906245,0.03130708461266414,0.0007901669332479172
Crawfordsville-TP6-4352_4_4,1320.6709956709956,950.5151515151515,730.1731601731602,2073.2900432900433,1678.7705627705627,595.3160173160173,Crawfordsville-TP6-4352,4,4,0.04247426319600601,0.030046383833650225,-0.04426000304064065
